"ing","ingName","prodCode","prodDesc","prodTTY"
"704","Amitriptyline","104802","Amitriptyline 2 MG/ML Oral Suspension","SCD"
"704","Amitriptyline","201699","Amitriptyline 75 MG Extended Release Oral Capsule [Elavil]","SBD"
"704","Amitriptyline","104801","Amitriptyline 75 MG Extended Release Oral Capsule","SCD"
"704","Amitriptyline","429485","Amitriptyline 60 MG Oral Tablet","SCD"
"704","Amitriptyline","429484","Amitriptyline 30 MG Oral Tablet","SCD"
"704","Amitriptyline","413148","Amitriptyline 25 MG/ML Injectable Solution","SCD"
"704","Amitriptyline","248665","Amitriptyline 25 MG Oral Capsule","SCD"
"704","Amitriptyline","249930","Amitriptyline 25 MG / Chlordiazepoxide 10 MG Oral Capsule","SCD"
"704","Amitriptyline","856785","Amitriptyline Hydrochloride 10 MG Oral Tablet [Endep]","SBD"
"704","Amitriptyline","429486","Amitriptyline 90 MG Oral Tablet","SCD"
"704","Amitriptyline","755505","Amitriptyline 2 MG/ML Oral Solution","SCD"
"704","Amitriptyline","245388","Amitriptyline 15 MG / Perphenazine 3 MG Oral Tablet","SCD"
"704","Amitriptyline","429487","Amitriptyline 120 MG Oral Tablet","SCD"
"704","Amitriptyline","427814","Amitriptyline 10 MG / Diazepam 3 MG / Perphenazine 2 MG Oral Tablet","SCD"
"704","Amitriptyline","201700","Amitriptyline 2 MG/ML Oral Suspension [Elavil]","SBD"
"704","Amitriptyline","856840","Amitriptyline Hydrochloride 50 MG / Perphenazine 4 MG Oral Tablet","SCD"
"704","Amitriptyline","201692","Amitriptyline Hydrochloride 10 MG Oral Tablet [Domical]","SBD"
"704","Amitriptyline","856810","Amitriptyline Hydrochloride 25 MG / Perphenazine 2 MG Oral Tablet [Triavil]","SBD"
"704","Amitriptyline","856825","Amitriptyline Hydrochloride 25 MG / Perphenazine 4 MG Oral Tablet","SCD"
"704","Amitriptyline","856829","Amitriptyline Hydrochloride 25 MG / Perphenazine 4 MG Oral Tablet [Etrafon]","SBD"
"704","Amitriptyline","856833","Amitriptyline Hydrochloride 25 MG / Perphenazine 4 MG Oral Tablet [Triavil]","SBD"
"704","Amitriptyline","856865","Amitriptyline Hydrochloride 25 MG Extended Release Oral Capsule","SCD"
"704","Amitriptyline","201697","Amitriptyline Hydrochloride 25 MG Extended Release Oral Capsule [Lentizol]","SBD"
"704","Amitriptyline","856834","Amitriptyline Hydrochloride 25 MG Oral Tablet","SCD"
"704","Amitriptyline","201694","Amitriptyline Hydrochloride 25 MG Oral Tablet [Domical]","SBD"
"704","Amitriptyline","856836","Amitriptyline Hydrochloride 25 MG Oral Tablet [Elavil]","SBD"
"704","Amitriptyline","856799","Amitriptyline Hydrochloride 25 MG / Perphenazine 2 MG Oral Tablet [Duo-Vil]","SBD"
"704","Amitriptyline","856867","Amitriptyline Hydrochloride 5 MG/ML Oral Solution","SCD"
"704","Amitriptyline","856797","Amitriptyline Hydrochloride 25 MG / Perphenazine 2 MG Oral Tablet","SCD"
"704","Amitriptyline","856844","Amitriptyline Hydrochloride 50 MG / Perphenazine 4 MG Oral Tablet [Triavil]","SBD"
"704","Amitriptyline","856868","Amitriptyline Hydrochloride 50 MG Extended Release Oral Capsule","SCD"
"704","Amitriptyline","201698","Amitriptyline Hydrochloride 50 MG Extended Release Oral Capsule [Lentizol]","SBD"
"704","Amitriptyline","856845","Amitriptyline Hydrochloride 50 MG Oral Tablet","SCD"
"704","Amitriptyline","201696","Amitriptyline Hydrochloride 50 MG Oral Tablet [Domical]","SBD"
"704","Amitriptyline","856847","Amitriptyline Hydrochloride 50 MG Oral Tablet [Elavil]","SBD"
"704","Amitriptyline","856849","Amitriptyline Hydrochloride 50 MG Oral Tablet [Endep]","SBD"
