Cancer category,Phenotype (for filtering implications),Label,Region
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",BRCA1
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",BRCA2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",PALB2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",CHEK2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",ATM
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",CRIP1
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",RAD51C
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",PTEN
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",TP53
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",CDH1
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",PIK3CA
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, this tumor type",ERBB2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",BRCA1
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",BRCA2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",PALB2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",CHEK2
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",ATM
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",CRIP1
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",RAD51C
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",PTEN
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",TP53
Breast carcinoma,Breast Carcinoma; Breast Ductal Carcinoma,"Actionable, other tumor type",CDH1
